"","YEAR_MONTH","DAY_TYPE","TIME_PER_HOUR","PT_TYPE","PT_CODE","TOTAL_TAP_IN_VOLUME","TOTAL_TAP_OUT_VOLUME"
"1","2019-09","WEEKDAY",23,"BUS",1012,1351,344
"3","2019-09","WEEKDAY",11,"BUS",1012,1019,2062
"6","2019-09","WEEKDAY",5,"BUS",1012,115,61
"8","2019-09","WEEKDAY",9,"BUS",1012,585,2447
"9","2019-09","WEEKDAY",18,"BUS",1012,3332,3073
"12","2019-09","WEEKDAY",22,"BUS",1012,2223,812
"13","2019-09","WEEKDAY",8,"BUS",1012,944,2667
"16","2019-09","WEEKDAY",21,"BUS",1012,2130,812
"17","2019-09","WEEKDAY",0,"BUS",1012,551,143
"20","2019-09","WEEKDAY",20,"BUS",1012,1805,1145
"21","2019-09","WEEKDAY",7,"BUS",1012,519,877
"23","2019-09","WEEKDAY",14,"BUS",1012,1542,2155
"26","2019-09","WEEKDAY",15,"BUS",1012,1913,1834
"28","2019-09","WEEKDAY",12,"BUS",1012,1261,2523
"30","2019-09","WEEKDAY",10,"BUS",1012,572,2067
"31","2019-09","WEEKDAY",17,"BUS",1012,2547,2503
"33","2019-09","WEEKDAY",6,"BUS",1012,345,643
"35","2019-09","WEEKDAY",19,"BUS",1012,2440,2146
"37","2019-09","WEEKDAY",13,"BUS",1012,1301,2200
"40","2019-09","WEEKDAY",16,"BUS",1012,1859,2103
"41","2019-09","WEEKDAY",7,"BUS",1013,235,219
"43","2019-09","WEEKDAY",13,"BUS",1013,796,708
"45","2019-09","WEEKDAY",19,"BUS",1013,1823,713
"47","2019-09","WEEKDAY",10,"BUS",1013,360,566
"52","2019-09","WEEKDAY",22,"BUS",1013,1482,301
"54","2019-09","WEEKDAY",18,"BUS",1013,2372,1024
"57","2019-09","WEEKDAY",21,"BUS",1013,1634,272
"59","2019-09","WEEKDAY",12,"BUS",1013,659,849
"60","2019-09","WEEKDAY",11,"BUS",1013,474,684
"63","2019-09","WEEKDAY",15,"BUS",1013,1279,749
"65","2019-09","WEEKDAY",14,"BUS",1013,956,768
"66","2019-09","WEEKDAY",6,"BUS",1013,199,241
"69","2019-09","WEEKDAY",20,"BUS",1013,1537,398
"70","2019-09","WEEKDAY",16,"BUS",1013,1411,698
"73","2019-09","WEEKDAY",23,"BUS",1013,850,162
"74","2019-09","WEEKDAY",8,"BUS",1013,284,612
"77","2019-09","WEEKDAY",17,"BUS",1013,1956,803
"79","2019-09","WEEKDAY",9,"BUS",1013,241,549
"80","2019-09","WEEKDAY",20,"BUS",1019,597,448
"83","2019-09","WEEKDAY",11,"BUS",1019,874,1759
"84","2019-09","WEEKDAY",16,"BUS",1019,1005,1243
"86","2019-09","WEEKDAY",13,"BUS",1019,1112,1731
"89","2019-09","WEEKDAY",18,"BUS",1019,1477,1575
"90","2019-09","WEEKDAY",14,"BUS",1019,1072,1476
"92","2019-09","WEEKDAY",12,"BUS",1019,947,1784
"95","2019-09","WEEKDAY",19,"BUS",1019,855,1106
"96","2019-09","WEEKDAY",8,"BUS",1019,671,2600
"98","2019-09","WEEKDAY",0,"BUS",1019,136,80
"100","2019-09","WEEKDAY",23,"BUS",1019,191,255
"102","2019-09","WEEKDAY",6,"BUS",1019,171,757
"104","2019-09","WEEKDAY",15,"BUS",1019,1084,1361
"106","2019-09","WEEKDAY",7,"BUS",1019,394,1211
"110","2019-09","WEEKDAY",10,"BUS",1019,608,1946
"112","2019-09","WEEKDAY",17,"BUS",1019,1170,1317
"114","2019-09","WEEKDAY",22,"BUS",1019,263,371
"117","2019-09","WEEKDAY",9,"BUS",1019,548,2566
"118","2019-09","WEEKDAY",21,"BUS",1019,461,335
"121","2019-09","WEEKDAY",18,"BUS",1029,3639,1252
"123","2019-09","WEEKDAY",5,"BUS",1029,60,120
"124","2019-09","WEEKDAY",16,"BUS",1029,2588,969
"127","2019-09","WEEKDAY",9,"BUS",1029,980,2676
"128","2019-09","WEEKDAY",7,"BUS",1029,466,1005
"130","2019-09","WEEKDAY",17,"BUS",1029,3081,1219
"132","2019-09","WEEKDAY",6,"BUS",1029,316,1006
"135","2019-09","WEEKDAY",23,"BUS",1029,630,162
"137","2019-09","WEEKDAY",0,"BUS",1029,207,36
"138","2019-09","WEEKDAY",22,"BUS",1029,1022,270
"141","2019-09","WEEKDAY",12,"BUS",1029,1730,1507
"143","2019-09","WEEKDAY",20,"BUS",1029,1503,375
"145","2019-09","WEEKDAY",19,"BUS",1029,2262,804
"146","2019-09","WEEKDAY",21,"BUS",1029,1393,332
"149","2019-09","WEEKDAY",15,"BUS",1029,2449,1116
"151","2019-09","WEEKDAY",13,"BUS",1029,1860,1333
"153","2019-09","WEEKDAY",8,"BUS",1029,998,2316
"154","2019-09","WEEKDAY",10,"BUS",1029,1000,1838
"157","2019-09","WEEKDAY",11,"BUS",1029,1293,1598
"159","2019-09","WEEKDAY",14,"BUS",1029,2004,1280
"161","2019-09","WEEKDAY",8,"BUS",1039,1356,2815
"162","2019-09","WEEKDAY",11,"BUS",1039,1672,3530
"165","2019-09","WEEKDAY",5,"BUS",1039,189,256
"166","2019-09","WEEKDAY",16,"BUS",1039,2876,2155
"168","2019-09","WEEKDAY",18,"BUS",1039,3530,3105
"170","2019-09","WEEKDAY",6,"BUS",1039,438,959
"172","2019-09","WEEKDAY",0,"BUS",1039,399,101
"175","2019-09","WEEKDAY",10,"BUS",1039,1267,2908
"177","2019-09","WEEKDAY",15,"BUS",1039,2529,2555
"178","2019-09","WEEKDAY",23,"BUS",1039,1341,289
"181","2019-09","WEEKDAY",13,"BUS",1039,2561,2752
"182","2019-09","WEEKDAY",7,"BUS",1039,804,1307
"184","2019-09","WEEKDAY",17,"BUS",1039,3258,2382
"186","2019-09","WEEKDAY",14,"BUS",1039,2524,2473
"188","2019-09","WEEKDAY",9,"BUS",1039,1386,3085
"190","2019-09","WEEKDAY",22,"BUS",1039,2707,615
"192","2019-09","WEEKDAY",20,"BUS",1039,3022,1363
"195","2019-09","WEEKDAY",19,"BUS",1039,3208,2392
"197","2019-09","WEEKDAY",12,"BUS",1039,1910,3101
"199","2019-09","WEEKDAY",21,"BUS",1039,3342,937
"201","2019-09","WEEKDAY",17,"BUS",1059,789,3413
"202","2019-09","WEEKDAY",6,"BUS",1059,297,2060
"205","2019-09","WEEKDAY",21,"BUS",1059,329,1084
"207","2019-09","WEEKDAY",20,"BUS",1059,384,1720
"208","2019-09","WEEKDAY",15,"BUS",1059,679,2802
"211","2019-09","WEEKDAY",22,"BUS",1059,269,803
"212","2019-09","WEEKDAY",10,"BUS",1059,583,3626
"217","2019-09","WEEKDAY",23,"BUS",1059,186,406
"218","2019-09","WEEKDAY",9,"BUS",1059,602,5156
"220","2019-09","WEEKDAY",7,"BUS",1059,414,3722
"223","2019-09","WEEKDAY",8,"BUS",1059,751,6502
"224","2019-09","WEEKDAY",14,"BUS",1059,748,2933
"227","2019-09","WEEKDAY",19,"BUS",1059,594,2908
"228","2019-09","WEEKDAY",11,"BUS",1059,675,3766
"231","2019-09","WEEKDAY",16,"BUS",1059,585,2739
"232","2019-09","WEEKDAY",0,"BUS",1059,129,112
"235","2019-09","WEEKDAY",18,"BUS",1059,832,4263
"237","2019-09","WEEKDAY",12,"BUS",1059,632,3544
"238","2019-09","WEEKDAY",13,"BUS",1059,770,3298
"240","2019-09","WEEKDAY",10,"BUS",1109,75,277
"243","2019-09","WEEKDAY",11,"BUS",1109,85,354
"247","2019-09","WEEKDAY",1,"BUS",1109,0,169
"248","2019-09","WEEKDAY",20,"BUS",1109,71,434
"251","2019-09","WEEKDAY",14,"BUS",1109,91,419
"252","2019-09","WEEKDAY",13,"BUS",1109,101,476
"254","2019-09","WEEKDAY",12,"BUS",1109,79,371
"257","2019-09","WEEKDAY",19,"BUS",1109,79,414
"258","2019-09","WEEKDAY",18,"BUS",1109,82,497
"260","2019-09","WEEKDAY",15,"BUS",1109,135,632
"263","2019-09","WEEKDAY",9,"BUS",1109,108,374
"265","2019-09","WEEKDAY",5,"BUS",1109,729,61
"267","2019-09","WEEKDAY",16,"BUS",1109,115,412
"269","2019-09","WEEKDAY",7,"BUS",1109,60,284
"270","2019-09","WEEKDAY",0,"BUS",1109,188,340
"272","2019-09","WEEKDAY",8,"BUS",1109,37,309
"275","2019-09","WEEKDAY",6,"BUS",1109,137,222
"277","2019-09","WEEKDAY",21,"BUS",1109,258,412
"281","2019-09","WEEKDAY",23,"BUS",1109,550,199
"282","2019-09","WEEKDAY",22,"BUS",1109,420,252
"284","2019-09","WEEKDAY",17,"BUS",1109,95,394
"286","2019-09","WEEKDAY",10,"BUS",1112,3057,4037
"289","2019-09","WEEKDAY",13,"BUS",1112,7900,5395
"290","2019-09","WEEKDAY",7,"BUS",1112,2069,1351
"292","2019-09","WEEKDAY",6,"BUS",1112,1119,1227
"295","2019-09","WEEKDAY",23,"BUS",1112,4368,989
"297","2019-09","WEEKDAY",15,"BUS",1112,9280,5820
"299","2019-09","WEEKDAY",9,"BUS",1112,2604,3124
"300","2019-09","WEEKDAY",17,"BUS",1112,10922,6025
"302","2019-09","WEEKDAY",21,"BUS",1112,13031,2030
"304","2019-09","WEEKDAY",0,"BUS",1112,1010,117
"306","2019-09","WEEKDAY",16,"BUS",1112,9916,5736
"308","2019-09","WEEKDAY",14,"BUS",1112,8014,5377
"311","2019-09","WEEKDAY",18,"BUS",1112,13388,6899
"312","2019-09","WEEKDAY",22,"BUS",1112,10646,1684
"314","2019-09","WEEKDAY",19,"BUS",1112,12295,5190
"316","2019-09","WEEKDAY",8,"BUS",1112,2608,2983
"320","2019-09","WEEKDAY",20,"BUS",1112,10930,3139
"322","2019-09","WEEKDAY",11,"BUS",1112,4382,4944
"324","2019-09","WEEKDAY",12,"BUS",1112,6264,6267
"325","2019-09","WEEKDAY",8,"BUS",1113,2486,2425
"328","2019-09","WEEKDAY",17,"BUS",1113,7631,3641
"330","2019-09","WEEKDAY",6,"BUS",1113,1213,701
"331","2019-09","WEEKDAY",21,"BUS",1113,8300,1636
"333","2019-09","WEEKDAY",9,"BUS",1113,2482,2122
"336","2019-09","WEEKDAY",11,"BUS",1113,2995,2643
"338","2019-09","WEEKDAY",20,"BUS",1113,7538,2263
"340","2019-09","WEEKDAY",10,"BUS",1113,2345,2159
"341","2019-09","WEEKDAY",0,"BUS",1113,735,158
"344","2019-09","WEEKDAY",12,"BUS",1113,4263,3152
"345","2019-09","WEEKDAY",14,"BUS",1113,5145,2904
"347","2019-09","WEEKDAY",19,"BUS",1113,8848,3335
"349","2019-09","WEEKDAY",15,"BUS",1113,5793,3363
"351","2019-09","WEEKDAY",13,"BUS",1113,4948,2944
"353","2019-09","WEEKDAY",18,"BUS",1113,9535,4619
"356","2019-09","WEEKDAY",23,"BUS",1113,3213,1035
"357","2019-09","WEEKDAY",7,"BUS",1113,4408,1375
"359","2019-09","WEEKDAY",16,"BUS",1113,6243,3390
"362","2019-09","WEEKDAY",22,"BUS",1113,6956,1529
"364","2019-09","WEEKDAY",5,"BUS",1113,124,107
"365","2019-09","WEEKDAY",23,"BUS",1119,349,240
"367","2019-09","WEEKDAY",9,"BUS",1119,1844,3691
"370","2019-09","WEEKDAY",10,"BUS",1119,2014,3923
"372","2019-09","WEEKDAY",18,"BUS",1119,3191,3394
"373","2019-09","WEEKDAY",11,"BUS",1119,2513,4256
"376","2019-09","WEEKDAY",6,"BUS",1119,359,829
"377","2019-09","WEEKDAY",14,"BUS",1119,3105,3082
"380","2019-09","WEEKDAY",22,"BUS",1119,956,490
"381","2019-09","WEEKDAY",8,"BUS",1119,1821,2884
"383","2019-09","WEEKDAY",21,"BUS",1119,1553,820
"386","2019-09","WEEKDAY",19,"BUS",1119,2650,2584
"387","2019-09","WEEKDAY",17,"BUS",1119,2989,2624
"391","2019-09","WEEKDAY",16,"BUS",1119,2995,2585
"394","2019-09","WEEKDAY",7,"BUS",1119,1183,1551
"396","2019-09","WEEKDAY",20,"BUS",1119,1651,1317
"398","2019-09","WEEKDAY",0,"BUS",1119,98,108
"400","2019-09","WEEKDAY",12,"BUS",1119,2990,4502
"401","2019-09","WEEKDAY",13,"BUS",1119,3777,3673
"403","2019-09","WEEKDAY",15,"BUS",1119,2842,2977
"405","2019-09","WEEKDAY",22,"BUS",1121,2059,982
"408","2019-09","WEEKDAY",15,"BUS",1121,3092,1499
"409","2019-09","WEEKDAY",18,"BUS",1121,2198,2198
"411","2019-09","WEEKDAY",16,"BUS",1121,2350,1614
"414","2019-09","WEEKDAY",6,"BUS",1121,699,746
"418","2019-09","WEEKDAY",20,"BUS",1121,1634,1288
"419","2019-09","WEEKDAY",19,"BUS",1121,1800,1702
"422","2019-09","WEEKDAY",17,"BUS",1121,3321,1779
"423","2019-09","WEEKDAY",12,"BUS",1121,1814,1729
"426","2019-09","WEEKDAY",7,"BUS",1121,1144,3848
"427","2019-09","WEEKDAY",21,"BUS",1121,1859,1284
"429","2019-09","WEEKDAY",0,"BUS",1121,357,154
"432","2019-09","WEEKDAY",23,"BUS",1121,1319,656
"435","2019-09","WEEKDAY",9,"BUS",1121,1093,981
"437","2019-09","WEEKDAY",10,"BUS",1121,1294,992
"438","2019-09","WEEKDAY",13,"BUS",1121,2936,1357
"441","2019-09","WEEKDAY",8,"BUS",1121,1160,1053
"442","2019-09","WEEKDAY",14,"BUS",1121,2261,1280
"444","2019-09","WEEKDAY",11,"BUS",1121,1289,1164
"446","2019-09","WEEKDAY",9,"BUS",1129,293,1205
"449","2019-09","WEEKDAY",20,"BUS",1129,298,474
"451","2019-09","WEEKDAY",15,"BUS",1129,547,794
"453","2019-09","WEEKDAY",16,"BUS",1129,567,863
"455","2019-09","WEEKDAY",11,"BUS",1129,443,1143
"456","2019-09","WEEKDAY",13,"BUS",1129,807,922
"458","2019-09","WEEKDAY",21,"BUS",1129,246,277
"462","2019-09","WEEKDAY",8,"BUS",1129,251,1002
"464","2019-09","WEEKDAY",19,"BUS",1129,477,793
"467","2019-09","WEEKDAY",12,"BUS",1129,617,1330
"468","2019-09","WEEKDAY",23,"BUS",1129,147,299
"471","2019-09","WEEKDAY",6,"BUS",1129,72,441
"473","2019-09","WEEKDAY",14,"BUS",1129,663,729
"474","2019-09","WEEKDAY",10,"BUS",1129,412,1004
"476","2019-09","WEEKDAY",18,"BUS",1129,669,984
"478","2019-09","WEEKDAY",22,"BUS",1129,179,355
"480","2019-09","WEEKDAY",7,"BUS",1129,184,819
"483","2019-09","WEEKDAY",17,"BUS",1129,787,911
"487","2019-09","WEEKDAY",15,"BUS",1139,1538,1207
"488","2019-09","WEEKDAY",17,"BUS",1139,2383,1470
"491","2019-09","WEEKDAY",5,"BUS",1139,180,246
"492","2019-09","WEEKDAY",10,"BUS",1139,708,1769
"495","2019-09","WEEKDAY",13,"BUS",1139,1398,1700
"497","2019-09","WEEKDAY",11,"BUS",1139,1164,1849
"499","2019-09","WEEKDAY",21,"BUS",1139,1034,503
"500","2019-09","WEEKDAY",23,"BUS",1139,594,197
"502","2019-09","WEEKDAY",6,"BUS",1139,335,1640
"504","2019-09","WEEKDAY",0,"BUS",1139,200,40
"507","2019-09","WEEKDAY",16,"BUS",1139,1545,1237
"508","2019-09","WEEKDAY",9,"BUS",1139,801,3449
"510","2019-09","WEEKDAY",7,"BUS",1139,482,2163
"513","2019-09","WEEKDAY",8,"BUS",1139,865,5607
"515","2019-09","WEEKDAY",19,"BUS",1139,1738,1299
"517","2019-09","WEEKDAY",22,"BUS",1139,821,418
"518","2019-09","WEEKDAY",20,"BUS",1139,1041,855
"520","2019-09","WEEKDAY",14,"BUS",1139,1529,1332
"522","2019-09","WEEKDAY",18,"BUS",1139,3297,1883
"524","2019-09","WEEKDAY",12,"BUS",1139,1490,1937
"527","2019-09","WEEKDAY",7,"BUS",1211,1495,760
"529","2019-09","WEEKDAY",15,"BUS",1211,2006,2030
"530","2019-09","WEEKDAY",23,"BUS",1211,1773,1432
"532","2019-09","WEEKDAY",20,"BUS",1211,2886,2587
"534","2019-09","WEEKDAY",14,"BUS",1211,1624,1820
"536","2019-09","WEEKDAY",21,"BUS",1211,2803,2774
"539","2019-09","WEEKDAY",11,"BUS",1211,1327,1369
"540","2019-09","WEEKDAY",0,"BUS",1211,646,406
"542","2019-09","WEEKDAY",17,"BUS",1211,2959,2739
"544","2019-09","WEEKDAY",5,"BUS",1211,252,48
"546","2019-09","WEEKDAY",13,"BUS",1211,1636,1895
"549","2019-09","WEEKDAY",8,"BUS",1211,1703,1738
"550","2019-09","WEEKDAY",10,"BUS",1211,1234,1187
"553","2019-09","WEEKDAY",18,"BUS",1211,4247,3807
"556","2019-09","WEEKDAY",19,"BUS",1211,3395,3384
"558","2019-09","WEEKDAY",12,"BUS",1211,1448,1659
"559","2019-09","WEEKDAY",22,"BUS",1211,2914,2647
"561","2019-09","WEEKDAY",16,"BUS",1211,2086,2230
"564","2019-09","WEEKDAY",6,"BUS",1211,1814,599
"566","2019-09","WEEKDAY",9,"BUS",1211,1221,1484
"567","2019-09","WEEKDAY",0,"BUS",1219,67,119
"569","2019-09","WEEKDAY",17,"BUS",1219,1261,1013
"572","2019-09","WEEKDAY",7,"BUS",1219,721,859
"573","2019-09","WEEKDAY",11,"BUS",1219,1177,913
"575","2019-09","WEEKDAY",21,"BUS",1219,345,714
"579","2019-09","WEEKDAY",14,"BUS",1219,747,797
"582","2019-09","WEEKDAY",10,"BUS",1219,1009,1099
"584","2019-09","WEEKDAY",9,"BUS",1219,1162,1642
"585","2019-09","WEEKDAY",19,"BUS",1219,976,1304
"587","2019-09","WEEKDAY",13,"BUS",1219,962,843
"589","2019-09","WEEKDAY",18,"BUS",1219,1554,1422
"591","2019-09","WEEKDAY",8,"BUS",1219,1273,1904
"594","2019-09","WEEKDAY",15,"BUS",1219,886,774
"595","2019-09","WEEKDAY",16,"BUS",1219,896,751
"598","2019-09","WEEKDAY",12,"BUS",1219,1065,830
"600","2019-09","WEEKDAY",22,"BUS",1219,355,583
"602","2019-09","WEEKDAY",20,"BUS",1219,645,755
"604","2019-09","WEEKDAY",6,"BUS",1219,456,651
"606","2019-09","WEEKDAY",23,"BUS",1219,185,320
"607","2019-09","WEEKDAY",0,"BUS",1229,110,73
"610","2019-09","WEEKDAY",5,"BUS",1229,87,142
"612","2019-09","WEEKDAY",13,"BUS",1229,1486,1024
"614","2019-09","WEEKDAY",20,"BUS",1229,1032,517
"616","2019-09","WEEKDAY",15,"BUS",1229,1416,829
"617","2019-09","WEEKDAY",22,"BUS",1229,779,325
"619","2019-09","WEEKDAY",16,"BUS",1229,1100,755
"621","2019-09","WEEKDAY",7,"BUS",1229,467,1021
"623","2019-09","WEEKDAY",17,"BUS",1229,1349,991
"625","2019-09","WEEKDAY",9,"BUS",1229,951,1546
"628","2019-09","WEEKDAY",19,"BUS",1229,1421,914
"629","2019-09","WEEKDAY",6,"BUS",1229,446,607
"632","2019-09","WEEKDAY",14,"BUS",1229,1457,792
"633","2019-09","WEEKDAY",12,"BUS",1229,1296,1422
"635","2019-09","WEEKDAY",21,"BUS",1229,910,345
"638","2019-09","WEEKDAY",10,"BUS",1229,958,1217
"639","2019-09","WEEKDAY",11,"BUS",1229,1171,1360
"641","2019-09","WEEKDAY",8,"BUS",1229,803,1171
"643","2019-09","WEEKDAY",18,"BUS",1229,1887,1281
"646","2019-09","WEEKDAY",23,"BUS",1229,472,207
"648","2019-09","WEEKDAY",20,"BUS",1231,258,28
"650","2019-09","WEEKDAY",10,"BUS",1231,114,72
"651","2019-09","WEEKDAY",18,"BUS",1231,802,315
"654","2019-09","WEEKDAY",15,"BUS",1231,380,116
"658","2019-09","WEEKDAY",12,"BUS",1231,214,201
"659","2019-09","WEEKDAY",11,"BUS",1231,160,126
"661","2019-09","WEEKDAY",14,"BUS",1231,374,82
"664","2019-09","WEEKDAY",8,"BUS",1231,116,42
"666","2019-09","WEEKDAY",16,"BUS",1231,489,105
"667","2019-09","WEEKDAY",13,"BUS",1231,267,136
"669","2019-09","WEEKDAY",9,"BUS",1231,103,58
"671","2019-09","WEEKDAY",23,"BUS",1231,201,12
"678","2019-09","WEEKDAY",19,"BUS",1231,564,319
"680","2019-09","WEEKDAY",21,"BUS",1231,322,42
"681","2019-09","WEEKDAY",17,"BUS",1231,735,141
"683","2019-09","WEEKDAY",22,"BUS",1231,492,46
"685","2019-09","WEEKDAY",21,"BUS",1239,277,228
"688","2019-09","WEEKDAY",15,"BUS",1239,645,495
"689","2019-09","WEEKDAY",22,"BUS",1239,324,268
"692","2019-09","WEEKDAY",19,"BUS",1239,447,719
"693","2019-09","WEEKDAY",18,"BUS",1239,654,937
"696","2019-09","WEEKDAY",14,"BUS",1239,558,586
"698","2019-09","WEEKDAY",8,"BUS",1239,707,2202
"699","2019-09","WEEKDAY",9,"BUS",1239,539,1597
"701","2019-09","WEEKDAY",6,"BUS",1239,157,390
"703","2019-09","WEEKDAY",17,"BUS",1239,732,740
"705","2019-09","WEEKDAY",23,"BUS",1239,157,104
"708","2019-09","WEEKDAY",20,"BUS",1239,420,342
"710","2019-09","WEEKDAY",11,"BUS",1239,458,624
"711","2019-09","WEEKDAY",7,"BUS",1239,282,982
"714","2019-09","WEEKDAY",13,"BUS",1239,844,709
"715","2019-09","WEEKDAY",16,"BUS",1239,724,564
"718","2019-09","WEEKDAY",12,"BUS",1239,509,779
"720","2019-09","WEEKDAY",10,"BUS",1239,480,961
"721","2019-09","WEEKDAY",11,"BUS",1311,4291,2565
"723","2019-09","WEEKDAY",21,"BUS",1311,5096,3079
"726","2019-09","WEEKDAY",7,"BUS",1311,5554,1668
"728","2019-09","WEEKDAY",22,"BUS",1311,5076,2993
"730","2019-09","WEEKDAY",12,"BUS",1311,4660,3451
"732","2019-09","WEEKDAY",15,"BUS",1311,5363,4378
"734","2019-09","WEEKDAY",19,"BUS",1311,8096,4439
"736","2019-09","WEEKDAY",6,"BUS",1311,4246,999
"737","2019-09","WEEKDAY",10,"BUS",1311,4495,2189
"740","2019-09","WEEKDAY",8,"BUS",1311,7739,2710
"742","2019-09","WEEKDAY",14,"BUS",1311,5148,3688
"743","2019-09","WEEKDAY",16,"BUS",1311,6173,3891
"746","2019-09","WEEKDAY",20,"BUS",1311,5593,2993
"747","2019-09","WEEKDAY",18,"BUS",1311,9245,5017
"749","2019-09","WEEKDAY",0,"BUS",1311,908,566
"752","2019-09","WEEKDAY",13,"BUS",1311,5242,3902
"753","2019-09","WEEKDAY",5,"BUS",1311,249,7
"756","2019-09","WEEKDAY",9,"BUS",1311,5544,2060
"758","2019-09","WEEKDAY",17,"BUS",1311,7486,4813
"760","2019-09","WEEKDAY",23,"BUS",1311,3071,1814
"763","2019-09","WEEKDAY",10,"BUS",1319,2234,3739
"764","2019-09","WEEKDAY",23,"BUS",1319,266,767
"767","2019-09","WEEKDAY",13,"BUS",1319,2028,3080
"769","2019-09","WEEKDAY",8,"BUS",1319,2876,6502
"770","2019-09","WEEKDAY",15,"BUS",1319,1913,2883
"772","2019-09","WEEKDAY",22,"BUS",1319,470,1398
"775","2019-09","WEEKDAY",21,"BUS",1319,539,1571
"777","2019-09","WEEKDAY",14,"BUS",1319,2033,3011
"779","2019-09","WEEKDAY",0,"BUS",1319,64,280
"780","2019-09","WEEKDAY",11,"BUS",1319,2441,3571
"784","2019-09","WEEKDAY",17,"BUS",1319,2030,4652
"787","2019-09","WEEKDAY",12,"BUS",1319,2377,3382
"789","2019-09","WEEKDAY",19,"BUS",1319,1447,3057
"790","2019-09","WEEKDAY",9,"BUS",1319,2729,5038
"792","2019-09","WEEKDAY",18,"BUS",1319,2163,5267
"795","2019-09","WEEKDAY",16,"BUS",1319,1909,2884
"796","2019-09","WEEKDAY",6,"BUS",1319,626,3579
"799","2019-09","WEEKDAY",7,"BUS",1319,1242,5828
"800","2019-09","WEEKDAY",20,"BUS",1319,669,1972
"802","2019-09","WEEKDAY",5,"BUS",1329,725,284
"805","2019-09","WEEKDAY",21,"BUS",1329,1190,1787
"806","2019-09","WEEKDAY",22,"BUS",1329,1027,1691
"809","2019-09","WEEKDAY",6,"BUS",1329,3295,1275
"811","2019-09","WEEKDAY",9,"BUS",1329,3544,3186
"813","2019-09","WEEKDAY",18,"BUS",1329,3073,3727
"815","2019-09","WEEKDAY",17,"BUS",1329,3453,3387
"816","2019-09","WEEKDAY",23,"BUS",1329,623,1144
"818","2019-09","WEEKDAY",20,"BUS",1329,1602,2086
"821","2019-09","WEEKDAY",16,"BUS",1329,2725,2944
"823","2019-09","WEEKDAY",11,"BUS",1329,3365,3223
"825","2019-09","WEEKDAY",7,"BUS",1329,3818,1713
"826","2019-09","WEEKDAY",10,"BUS",1329,3136,3237
"828","2019-09","WEEKDAY",14,"BUS",1329,3111,2755
"831","2019-09","WEEKDAY",0,"BUS",1329,154,252
"833","2019-09","WEEKDAY",8,"BUS",1329,4086,3362
"835","2019-09","WEEKDAY",13,"BUS",1329,3571,2723
"837","2019-09","WEEKDAY",19,"BUS",1329,2179,2972
"838","2019-09","WEEKDAY",12,"BUS",1329,3479,3540
"840","2019-09","WEEKDAY",15,"BUS",1329,2779,2860
"843","2019-09","WEEKDAY",12,"BUS",1339,418,717
"844","2019-09","WEEKDAY",7,"BUS",1339,516,1422
"846","2019-09","WEEKDAY",23,"BUS",1339,69,249
"849","2019-09","WEEKDAY",18,"BUS",1339,714,1005
"850","2019-09","WEEKDAY",6,"BUS",1339,457,862
"852","2019-09","WEEKDAY",13,"BUS",1339,405,740
"855","2019-09","WEEKDAY",15,"BUS",1339,365,706
"857","2019-09","WEEKDAY",9,"BUS",1339,618,1421
"858","2019-09","WEEKDAY",22,"BUS",1339,211,405
"860","2019-09","WEEKDAY",19,"BUS",1339,418,835
"863","2019-09","WEEKDAY",21,"BUS",1339,247,444
"865","2019-09","WEEKDAY",17,"BUS",1339,559,831
"867","2019-09","WEEKDAY",16,"BUS",1339,375,685
"868","2019-09","WEEKDAY",14,"BUS",1339,367,715
"871","2019-09","WEEKDAY",5,"BUS",1339,174,337
"875","2019-09","WEEKDAY",8,"BUS",1339,944,2096
"877","2019-09","WEEKDAY",20,"BUS",1339,243,558
"879","2019-09","WEEKDAY",11,"BUS",1339,434,778
"880","2019-09","WEEKDAY",10,"BUS",1339,362,845
"882","2019-09","WEEKDAY",9,"BUS",1341,188,218
"884","2019-09","WEEKDAY",19,"BUS",1341,141,351
"886","2019-09","WEEKDAY",21,"BUS",1341,182,188
"890","2019-09","WEEKDAY",23,"BUS",1341,60,106
"893","2019-09","WEEKDAY",18,"BUS",1341,170,435
"895","2019-09","WEEKDAY",17,"BUS",1341,233,291
"897","2019-09","WEEKDAY",11,"BUS",1341,133,190
"900","2019-09","WEEKDAY",12,"BUS",1341,190,298
"901","2019-09","WEEKDAY",13,"BUS",1341,201,241
"903","2019-09","WEEKDAY",16,"BUS",1341,200,249
"906","2019-09","WEEKDAY",7,"BUS",1341,126,147
"907","2019-09","WEEKDAY",20,"BUS",1341,129,246
"909","2019-09","WEEKDAY",10,"BUS",1341,191,178
"911","2019-09","WEEKDAY",22,"BUS",1341,101,156
"913","2019-09","WEEKDAY",15,"BUS",1341,204,202
"916","2019-09","WEEKDAY",14,"BUS",1341,218,211
"919","2019-09","WEEKDAY",8,"BUS",1341,215,279
"929","2019-09","WEEKDAY",8,"BUS",1349,103,11
"962","2019-09","WEEKDAY",10,"BUS",1411,170,678
"963","2019-09","WEEKDAY",23,"BUS",1411,172,404
"966","2019-09","WEEKDAY",8,"BUS",1411,289,909
"967","2019-09","WEEKDAY",17,"BUS",1411,815,1262
"970","2019-09","WEEKDAY",12,"BUS",1411,252,1659
"972","2019-09","WEEKDAY",21,"BUS",1411,542,754
"973","2019-09","WEEKDAY",22,"BUS",1411,357,570
