Source,Target,Operator,ServiceNo,StopSequence
11181,11351,SBST,100,53
11351,11009,SBST,100,54
11009,11359,SBST,100,1
11359,11189,SBST,100,2
11189,11179,SBST,100,3
11179,11169,SBST,100,4
11169,11059,SBST,100,5
11059,11049,SBST,100,6
11049,11039,SBST,100,7
11039,11029,SBST,100,8
11029,11519,SBST,100,9
11519,18019,SBST,100,10
18019,15059,SBST,100,11
15059,15049,SBST,100,12
15049,14189,SBST,100,13
14189,14179,SBST,100,14
14179,14169,SBST,100,15
14169,14159,SBST,100,16
14159,14139,SBST,100,17
14139,14129,SBST,100,18
14129,14119,SBST,100,19
14119,14109,SBST,100,20
14109,14089,SBST,100,21
14089,14069,SBST,100,22
14069,5641,SBST,100,23
5641,3222,SBST,100,24
3222,3111,SBST,100,25
3111,3031,SBST,100,26
3031,3011,SBST,100,27
3011,2111,SBST,100,28
2111,1611,SBST,100,29
1611,1621,SBST,100,30
1621,1511,SBST,100,31
1511,1521,SBST,100,32
1521,1411,SBST,100,33
1411,1421,SBST,100,34
1421,1341,SBST,100,35
1341,80011,SBST,100,36
80011,80031,SBST,100,37
80031,80051,SBST,100,38
80051,80071,SBST,100,39
80071,80091,SBST,100,40
80091,81081,SBST,100,41
81081,81091,SBST,100,42
81091,70011,SBST,100,43
70011,70021,SBST,100,44
70021,70031,SBST,100,45
70031,70041,SBST,100,46
70041,70051,SBST,100,47
70051,70061,SBST,100,48
70061,61031,SBST,100,49
61031,61041,SBST,100,50
61041,62111,SBST,100,51
62111,62121,SBST,100,52
62121,66009,SBST,100,53
66009,62129,SBST,100A,1
62129,62119,SBST,100A,2
62119,61049,SBST,100A,3
61049,61039,SBST,100A,4
61039,70069,SBST,100A,5
70069,70059,SBST,100A,6
70059,70049,SBST,100A,7
70049,70039,SBST,100A,8
70039,70029,SBST,100A,9
70029,70019,SBST,100A,10
70019,81099,SBST,100A,11
81099,81089,SBST,100A,12
66009,62131,SBST,101,1
62131,62141,SBST,101,2
62141,63011,SBST,101,3
63011,63021,SBST,101,4
63021,63031,SBST,101,5
63031,63041,SBST,101,6
63041,63051,SBST,101,7
63051,63061,SBST,101,8
63061,64011,SBST,101,9
64011,64541,SBST,101,10
64541,64551,SBST,101,11
64551,64529,SBST,101,12
64529,64339,SBST,101,13
64339,64341,SBST,101,14
64341,64351,SBST,101,15
64351,64431,SBST,101,16
64431,64441,SBST,101,17
64441,64461,SBST,101,18
64461,66499,SBST,101,19
66499,66541,SBST,101,20
66541,66551,SBST,101,21
66551,66561,SBST,101,22
66561,66571,SBST,101,23
66571,66581,SBST,101,24
66581,66549,SBST,101,25
66549,66491,SBST,101,26
66491,64619,SBST,101,27
64619,64561,SBST,101,28
64561,64359,SBST,101,29
64359,64349,SBST,101,30
64349,64331,SBST,101,31
64331,64521,SBST,101,32
64521,64559,SBST,101,33
64559,64549,SBST,101,34
64549,64019,SBST,101,35
64019,63069,SBST,101,36
63069,63059,SBST,101,37
63059,63049,SBST,101,38
63049,63039,SBST,101,39
63039,63029,SBST,101,40
63029,63019,SBST,101,41
63019,62149,SBST,101,42
62149,62189,SBST,101,43
62189,66009,SBST,101,44
64009,64041,SBST,102,1
64041,64051,SBST,102,2
64051,64061,SBST,102,3
64061,64401,SBST,102,4
64401,67739,SBST,102,5
67739,67729,SBST,102,6
67729,67719,SBST,102,7
67719,67609,SBST,102,8
67609,67619,SBST,102,9
67619,67341,SBST,102,10
67341,67199,SBST,102,11
67199,67189,SBST,102,12
67189,67409,SBST,102,13
67409,67399,SBST,102,14
67399,67389,SBST,102,15
67389,67549,SBST,102,16
67549,67559,SBST,102,17
67559,67569,SBST,102,18
67569,67579,SBST,102,19
67579,68031,SBST,102,20
68031,68051,SBST,102,21
68051,68111,SBST,102,22
68111,68099,SBST,102,23
68099,68209,SBST,102,24
68209,68239,SBST,102,25
68239,68201,SBST,102,26
68201,68091,SBST,102,27
68091,68119,SBST,102,28
68119,68059,SBST,102,29
68059,68049,SBST,102,30
68049,68039,SBST,102,31
68039,67571,SBST,102,32
67571,67561,SBST,102,33
67561,67551,SBST,102,34
67551,67541,SBST,102,35
67541,67381,SBST,102,36
67381,67391,SBST,102,37
67391,67401,SBST,102,38
67401,67181,SBST,102,39
67181,67191,SBST,102,40
67191,67349,SBST,102,41
67349,67611,SBST,102,42
67611,67601,SBST,102,43
67601,67711,SBST,102,44
67711,67721,SBST,102,45
67721,67731,SBST,102,46
67731,64409,SBST,102,47
64409,64069,SBST,102,48
64069,64059,SBST,102,49
64059,64049,SBST,102,50
64049,64009,SBST,102,51
66009,62131,SBST,103,1
62131,62141,SBST,103,2
62141,63141,SBST,103,3
63141,63361,SBST,103,4
63361,63181,SBST,103,5
63181,63191,SBST,103,6
63191,63201,SBST,103,7
63201,63211,SBST,103,8
63211,64101,SBST,103,9
64101,64111,SBST,103,10
64111,64121,SBST,103,11
64121,67079,SBST,103,12
67079,67069,SBST,103,13
67069,67059,SBST,103,14
67059,67049,SBST,103,15
67049,67081,SBST,103,16
67081,68011,SBST,103,17
68011,68021,SBST,103,18
68021,68031,SBST,103,19
68031,68051,SBST,103,20
68051,68111,SBST,103,21
68111,68061,SBST,103,22
68061,68091,SBST,103,23
68091,68081,SBST,103,24
68081,68101,SBST,103,25
68101,68121,SBST,103,26
68121,68161,SBST,103,27
68161,68131,SBST,103,28
68131,68141,SBST,103,29
68141,68151,SBST,103,30
68151,68171,SBST,103,31
68171,59779,SBST,103,32
59779,59789,SBST,103,33
59789,59461,SBST,103,34
59461,59459,SBST,103,35
59459,59709,SBST,103,36
59709,59349,SBST,103,37
59349,58991,SBST,103,38
58991,59009,SBST,103,39
59009,59069,SBST,103,1
59069,59341,SBST,103,2
59341,59701,SBST,103,3
59701,59651,SBST,103,4
59651,59451,SBST,103,5
59451,59469,SBST,103,6
59469,59781,SBST,103,7
59781,68179,SBST,103,8
68179,68159,SBST,103,9
68159,68149,SBST,103,10
68149,68139,SBST,103,11
68139,68169,SBST,103,12
68169,68129,SBST,103,13
68129,68109,SBST,103,14
68109,68089,SBST,103,15
68089,68099,SBST,103,16
68099,68069,SBST,103,17
68069,68119,SBST,103,18
68119,68059,SBST,103,19
68059,68049,SBST,103,20
68049,68039,SBST,103,21
68039,68029,SBST,103,22
68029,68019,SBST,103,23
68019,67089,SBST,103,24
67089,67041,SBST,103,25
67041,67051,SBST,103,26
67051,67061,SBST,103,27
67061,67071,SBST,103,28
67071,64129,SBST,103,29
64129,64119,SBST,103,30
64119,64109,SBST,103,31
64109,63219,SBST,103,32
63219,63209,SBST,103,33
63209,63199,SBST,103,34
63199,63189,SBST,103,35
63189,63179,SBST,103,36
63179,63369,SBST,103,37
63369,63149,SBST,103,38
63149,62149,SBST,103,39
62149,62189,SBST,103,40
62189,66009,SBST,103,41
66009,66419,SBST,105,1
66419,66409,SBST,105,2
66409,66399,SBST,105,3
66399,66029,SBST,105,4
66029,66019,SBST,105,5
66019,52069,SBST,105,6
52069,52059,SBST,105,7
52059,52361,SBST,105,8
52361,52279,SBST,105,9
52279,52239,SBST,105,10
52239,52189,SBST,105,11
52189,52079,SBST,105,12
52079,51099,SBST,105,13
51099,40249,SBST,105,14
40249,40239,SBST,105,15
40239,40229,SBST,105,16
40229,40219,SBST,105,17
40219,40209,SBST,105,18
40209,40199,SBST,105,19
40199,9219,SBST,105,20
9219,9111,SBST,105,21
9111,9121,SBST,105,22
9121,9131,SBST,105,23
9131,9141,SBST,105,24
9141,13011,SBST,105,25
13011,13021,SBST,105,26
13021,11201,SBST,105,27
11201,11211,SBST,105,28
11211,11221,SBST,105,29
11221,11089,SBST,105,30
11089,11079,SBST,105,31
11079,11069,SBST,105,32
11069,11161,SBST,105,33
11161,11171,SBST,105,34
11171,11181,SBST,105,35
11181,11191,SBST,105,36
11191,19011,SBST,105,37
19011,19021,SBST,105,38
19021,19031,SBST,105,39
19031,19041,SBST,105,40
19041,17151,SBST,105,41
17151,17161,SBST,105,42
17161,17171,SBST,105,43
17171,17181,SBST,105,44
17181,20101,SBST,105,45
20101,28011,SBST,105,46
28011,28021,SBST,105,47
28021,28031,SBST,105,48
28031,28041,SBST,105,49
28041,28659,SBST,105,50
28659,28649,SBST,105,51
28649,28639,SBST,105,52
28639,28319,SBST,105,53
28319,28449,SBST,105,54
28449,28009,SBST,105,55
28009,28441,SBST,105,1
28441,28311,SBST,105,3
28311,28631,SBST,105,4
28631,28641,SBST,105,5
28641,28651,SBST,105,6
28651,28049,SBST,105,7
28049,28039,SBST,105,8
28039,28029,SBST,105,9
28029,28019,SBST,105,10
28019,20109,SBST,105,11
20109,17189,SBST,105,12
17189,17179,SBST,105,13
17179,17169,SBST,105,14
17169,17159,SBST,105,15
17159,19049,SBST,105,16
19049,19039,SBST,105,17
19039,19029,SBST,105,18
19029,19019,SBST,105,19
19019,11199,SBST,105,20
11199,11189,SBST,105,21
11189,11179,SBST,105,22
11179,11169,SBST,105,23
11169,11061,SBST,105,24
11061,11071,SBST,105,25
11071,11081,SBST,105,26
11081,11229,SBST,105,27
11229,11219,SBST,105,28
11219,11209,SBST,105,29
11209,13029,SBST,105,30
13029,13019,SBST,105,31
13019,9149,SBST,105,32
9149,9159,SBST,105,33
9159,9169,SBST,105,34
9169,9179,SBST,105,35
9179,9213,SBST,105,36
9213,40191,SBST,105,37
40191,40201,SBST,105,38
40201,40211,SBST,105,39
40211,40221,SBST,105,40
40221,40231,SBST,105,41
40231,51091,SBST,105,42
51091,51101,SBST,105,43
51101,52071,SBST,105,44
52071,52181,SBST,105,45
52181,52231,SBST,105,46
52231,52271,SBST,105,47
52271,52369,SBST,105,48
52369,52051,SBST,105,49
52051,52061,SBST,105,50
52061,66011,SBST,105,51
66011,66021,SBST,105,52
66021,66391,SBST,105,53
66391,66401,SBST,105,54
66401,66411,SBST,105,55
66411,66389,SBST,105,56
66389,66009,SBST,105,57
28009,28441,SBST,105B,1
28441,28311,SBST,105B,3
28311,28631,SBST,105B,4
28631,28641,SBST,105B,5
28641,28651,SBST,105B,6
28651,28049,SBST,105B,7
28049,28039,SBST,105B,8
28039,28029,SBST,105B,9
28029,28019,SBST,105B,10
28019,20109,SBST,105B,11
20109,17189,SBST,105B,12
17189,17179,SBST,105B,13
43009,43179,TTS,106,1
43179,43189,TTS,106,2
43189,43619,TTS,106,3
43619,43629,TTS,106,4
43629,42319,TTS,106,5
42319,28109,TTS,106,6
28109,28189,TTS,106,7
28189,28019,TTS,106,8
28019,20109,TTS,106,9
20109,17189,TTS,106,10
17189,17179,TTS,106,11
17179,17169,TTS,106,12
17169,17159,TTS,106,13
17159,19049,TTS,106,14
19049,19039,TTS,106,15
19039,19029,TTS,106,16
19029,19019,TTS,106,17
19019,11199,TTS,106,18
11199,11189,TTS,106,19
11189,11401,TTS,106,20
11401,11239,TTS,106,21
11239,11229,TTS,106,22
11229,11219,TTS,106,23
11219,11209,TTS,106,24
11209,13029,TTS,106,25
13029,13019,TTS,106,26
13019,9149,TTS,106,27
9149,9159,TTS,106,28
9159,9169,TTS,106,29
9169,9179,TTS,106,30
9179,9048,TTS,106,31
9048,9038,TTS,106,32
9038,8138,TTS,106,33
8138,8057,TTS,106,34
8057,8069,TTS,106,35
8069,4179,TTS,106,36
4179,2049,TTS,106,37
2049,2151,TTS,106,38
2151,2161,TTS,106,39
2161,2171,TTS,106,40
2171,3509,TTS,106,41
3509,3519,TTS,106,42
3519,3539,TTS,106,43
3539,3529,TTS,106,44
3529,3129,TTS,106,45
3129,3218,TTS,106,46
3218,3239,TTS,106,47
3239,3222,TTS,106,1
3222,3111,TTS,106,2
3111,3071,TTS,106,3
3071,3381,TTS,106,4
3381,3391,TTS,106,5
3391,3511,TTS,106,6
3511,3501,TTS,106,7
3501,2051,TTS,106,8
2051,2061,TTS,106,9
2061,4111,TTS,106,10
4111,4121,TTS,106,11
4121,8041,TTS,106,12
8041,8031,TTS,106,13
8031,8111,TTS,106,14
8111,8121,TTS,106,15
8121,9059,TTS,106,16
9059,9022,TTS,106,17
9022,9111,TTS,106,18
9111,9121,TTS,106,19
9121,9131,TTS,106,20
9131,9141,TTS,106,21
9141,13011,TTS,106,22
13011,13021,TTS,106,23
13021,11201,TTS,106,24
