Source,Target,Operator,ServiceNo,StopSequence
41061,41071,SBST,151,32
41071,41081,SBST,151,33
41081,42011,SBST,151,34
42011,42021,SBST,151,35
42021,42031,SBST,151,36
42031,42041,SBST,151,37
42041,42051,SBST,151,38
42051,42061,SBST,151,39
42061,42149,SBST,151,40
42149,12109,SBST,151,41
12109,12099,SBST,151,42
12099,12089,SBST,151,43
12089,12079,SBST,151,44
12079,12069,SBST,151,45
12069,17119,SBST,151,46
17119,17109,SBST,151,47
17109,17099,SBST,151,48
17099,16161,SBST,151,49
16161,16171,SBST,151,50
16171,16181,SBST,151,51
16181,16191,SBST,151,52
16191,16009,SBST,151,53
16009,16199,SBST,151,1
16199,16189,SBST,151,2
16189,16179,SBST,151,3
16179,16169,SBST,151,4
16169,17091,SBST,151,5
17091,17101,SBST,151,6
17101,17111,SBST,151,7
17111,12061,SBST,151,8
12061,12071,SBST,151,9
12071,12081,SBST,151,10
12081,12091,SBST,151,11
12091,12101,SBST,151,12
12101,42141,SBST,151,13
42141,42059,SBST,151,14
42059,42049,SBST,151,15
42049,42039,SBST,151,16
42039,42029,SBST,151,17
42029,42019,SBST,151,18
42019,41089,SBST,151,19
41089,41079,SBST,151,20
41079,41069,SBST,151,21
41069,41049,SBST,151,22
41049,41029,SBST,151,23
41029,41019,SBST,151,24
41019,40099,SBST,151,25
40099,40231,SBST,151,26
40231,51091,SBST,151,27
51091,51101,SBST,151,28
51101,52071,SBST,151,29
52071,52081,SBST,151,30
52081,60081,SBST,151,31
60081,60211,SBST,151,32
60211,70101,SBST,151,33
70101,70111,SBST,151,34
70111,70121,SBST,151,35
70121,70131,SBST,151,36
70131,70141,SBST,151,37
70141,71011,SBST,151,38
71011,71171,SBST,151,39
71171,71021,SBST,151,40
71021,71069,SBST,151,41
71069,71059,SBST,151,42
71059,62249,SBST,151,43
62249,62239,SBST,151,44
62239,63109,SBST,151,45
63109,63099,SBST,151,46
63099,63089,SBST,151,47
63089,63079,SBST,151,48
63079,64201,SBST,151,49
64201,64231,SBST,151,50
64231,64241,SBST,151,51
64241,64009,SBST,151,52
64009,64249,SBST,151e,1
64249,64239,SBST,151e,2
64239,64209,SBST,151e,3
64209,63071,SBST,151e,4
63071,63081,SBST,151e,5
63081,63091,SBST,151e,6
63091,63101,SBST,151e,7
63101,52089,SBST,151e,8
52089,52079,SBST,151e,21
52079,42149,SBST,151e,22
42149,12109,SBST,151e,40
12109,12099,SBST,151e,41
12099,12089,SBST,151e,42
12089,12079,SBST,151e,43
12079,12069,SBST,151e,44
12069,17119,SBST,151e,45
17119,17109,SBST,151e,46
17109,17099,SBST,151e,47
17099,16161,SBST,151e,48
16161,16171,SBST,151e,49
16171,16181,SBST,151e,50
16181,16191,SBST,151e,51
16191,16009,SBST,151e,52
16009,16199,SBST,151e,1
16199,16189,SBST,151e,2
16189,16179,SBST,151e,3
16179,16169,SBST,151e,4
16169,17091,SBST,151e,5
17091,17101,SBST,151e,6
17101,17111,SBST,151e,7
17111,12061,SBST,151e,8
12061,12071,SBST,151e,9
12071,12081,SBST,151e,10
12081,12091,SBST,151e,11
12091,12101,SBST,151e,12
12101,42141,SBST,151e,13
42141,52071,SBST,151e,14
52071,52081,SBST,151e,30
52081,63109,SBST,151e,31
63109,63099,SBST,151e,46
63099,63089,SBST,151e,47
63089,63079,SBST,151e,48
63079,64201,SBST,151e,49
64201,64231,SBST,151e,50
64231,64241,SBST,151e,51
64241,64009,SBST,151e,52
10009,10659,SBST,153,1
10659,10101,SBST,153,2
10101,10111,SBST,153,3
10111,10131,SBST,153,4
10131,11021,SBST,153,5
11021,11031,SBST,153,6
11031,11041,SBST,153,7
11041,11051,SBST,153,8
11051,11061,SBST,153,9
11061,11071,SBST,153,10
11071,11081,SBST,153,11
11081,11091,SBST,153,12
11091,11101,SBST,153,13
11101,11111,SBST,153,14
11111,41101,SBST,153,15
41101,41111,SBST,153,16
41111,41029,SBST,153,17
41029,41019,SBST,153,18
41019,40099,SBST,153,19
40099,40231,SBST,153,20
40231,51091,SBST,153,21
51091,51101,SBST,153,22
51101,52071,SBST,153,23
52071,52181,SBST,153,24
52181,52231,SBST,153,25
52231,52271,SBST,153,26
52271,52369,SBST,153,27
52369,52051,SBST,153,28
52051,52061,SBST,153,29
52061,66061,SBST,153,30
66061,66071,SBST,153,31
66071,66081,SBST,153,32
66081,62111,SBST,153,33
62111,62121,SBST,153,34
62121,62131,SBST,153,35
62131,62141,SBST,153,36
62141,63011,SBST,153,37
63011,63021,SBST,153,38
63021,63031,SBST,153,39
63031,63041,SBST,153,40
63041,63051,SBST,153,41
63051,63061,SBST,153,42
63061,64011,SBST,153,43
64011,64009,SBST,153,44
64009,64019,SBST,153,1
64019,63069,SBST,153,2
63069,63059,SBST,153,3
63059,63049,SBST,153,4
63049,63039,SBST,153,5
63039,63029,SBST,153,6
63029,63019,SBST,153,7
63019,62149,SBST,153,8
62149,62139,SBST,153,9
62139,62129,SBST,153,10
62129,62119,SBST,153,11
62119,66089,SBST,153,12
66089,66079,SBST,153,13
66079,66069,SBST,153,14
66069,52069,SBST,153,15
52069,52059,SBST,153,16
52059,52361,SBST,153,17
52361,52279,SBST,153,18
52279,52239,SBST,153,19
52239,52189,SBST,153,20
52189,52079,SBST,153,21
52079,51099,SBST,153,22
51099,40249,SBST,153,23
40249,40239,SBST,153,24
40239,40091,SBST,153,25
40091,41011,SBST,153,26
41011,41021,SBST,153,27
41021,41119,SBST,153,28
41119,41109,SBST,153,29
41109,11119,SBST,153,30
11119,11109,SBST,153,31
11109,11099,SBST,153,32
11099,11089,SBST,153,33
11089,11079,SBST,153,34
11079,11069,SBST,153,35
11069,11059,SBST,153,36
11059,11049,SBST,153,37
11049,11039,SBST,153,38
11039,11029,SBST,153,39
11029,11019,SBST,153,40
11019,10139,SBST,153,41
10139,10119,SBST,153,42
10119,10651,SBST,153,43
10651,10009,SBST,153,44
22009,21699,SBST,154,1
21699,21689,SBST,154,2
21689,28099,SBST,154,3
28099,21669,SBST,154,4
21669,21659,SBST,154,5
21659,21649,SBST,154,6
21649,21639,SBST,154,7
21639,21759,SBST,154,8
21759,21769,SBST,154,9
21769,21779,SBST,154,10
21779,21559,SBST,154,11
21559,21179,SBST,154,12
21179,21029,SBST,154,13
21029,21019,SBST,154,14
21019,20089,SBST,154,15
20089,20069,SBST,154,16
20069,20059,SBST,154,17
20059,20039,SBST,154,18
20039,20029,SBST,154,19
20029,17059,SBST,154,20
17059,17189,SBST,154,21
17189,17179,SBST,154,22
17179,17169,SBST,154,23
17169,17159,SBST,154,24
17159,17101,SBST,154,25
17101,17111,SBST,154,26
17111,12061,SBST,154,27
12061,12071,SBST,154,28
12071,12081,SBST,154,29
12081,12091,SBST,154,30
12091,12101,SBST,154,31
12101,42141,SBST,154,32
42141,42059,SBST,154,33
42059,42049,SBST,154,34
42049,42039,SBST,154,35
42039,42029,SBST,154,36
42029,42019,SBST,154,37
42019,41089,SBST,154,38
41089,41079,SBST,154,39
41079,41069,SBST,154,40
41069,41049,SBST,154,41
41049,41029,SBST,154,42
41029,41019,SBST,154,43
41019,40099,SBST,154,44
40099,40231,SBST,154,45
40231,51091,SBST,154,46
51091,51101,SBST,154,47
51101,52071,SBST,154,48
52071,52081,SBST,154,49
52081,60081,SBST,154,50
60081,60211,SBST,154,51
60211,70101,SBST,154,52
70101,70111,SBST,154,53
70111,70039,SBST,154,54
70039,70151,SBST,154,55
70151,70161,SBST,154,56
70161,70171,SBST,154,57
70171,70181,SBST,154,58
70181,70191,SBST,154,59
70191,70371,SBST,154,60
70371,70259,SBST,154,61
70259,81101,SBST,154,62
81101,81111,SBST,154,63
81111,82011,SBST,154,64
82011,82032,SBST,154,65
82032,82009,SBST,154,66
82009,82229,SBST,154,1
82229,82049,SBST,154,2
82049,82029,SBST,154,3
82029,81129,SBST,154,4
81129,81119,SBST,154,6
81119,81109,SBST,154,7
81109,70251,SBST,154,8
70251,70379,SBST,154,9
70379,70201,SBST,154,10
70201,70211,SBST,154,11
70211,70221,SBST,154,12
70221,70231,SBST,154,13
70231,70241,SBST,154,14
70241,70021,SBST,154,15
70021,70031,SBST,154,16
70031,70119,SBST,154,17
70119,70109,SBST,154,18
70109,60219,SBST,154,19
60219,60089,SBST,154,20
60089,52089,SBST,154,21
52089,52079,SBST,154,22
52079,51099,SBST,154,23
51099,40249,SBST,154,24
40249,40239,SBST,154,25
40239,40091,SBST,154,26
40091,41011,SBST,154,27
41011,41021,SBST,154,28
41021,41031,SBST,154,29
41031,41041,SBST,154,30
41041,41051,SBST,154,31
41051,41061,SBST,154,32
41061,41071,SBST,154,33
41071,41081,SBST,154,34
41081,42011,SBST,154,35
42011,42021,SBST,154,36
42021,42031,SBST,154,37
42031,42041,SBST,154,38
42041,42051,SBST,154,39
42051,42061,SBST,154,40
42061,42149,SBST,154,41
42149,12109,SBST,154,42
12109,12099,SBST,154,43
12099,12089,SBST,154,44
12089,12079,SBST,154,45
12079,12069,SBST,154,46
12069,17119,SBST,154,47
17119,17109,SBST,154,48
17109,17151,SBST,154,49
17151,17161,SBST,154,50
17161,17171,SBST,154,51
17171,17181,SBST,154,52
17181,17051,SBST,154,53
17051,20021,SBST,154,54
20021,20031,SBST,154,55
20031,20051,SBST,154,56
20051,20061,SBST,154,57
20061,20081,SBST,154,58
20081,21011,SBST,154,59
21011,21021,SBST,154,60
21021,21171,SBST,154,61
21171,21551,SBST,154,62
21551,21771,SBST,154,63
21771,21761,SBST,154,64
21761,21751,SBST,154,65
21751,21631,SBST,154,66
21631,21641,SBST,154,67
21641,21651,SBST,154,68
21651,21661,SBST,154,69
21661,28091,SBST,154,70
28091,21681,SBST,154,71
21681,21691,SBST,154,72
21691,22009,SBST,154,73
21551,21771,SBST,154A,1
21771,21761,SBST,154A,2
21761,21751,SBST,154A,3
21751,21631,SBST,154A,4
21631,21641,SBST,154A,5
21641,21651,SBST,154A,6
21651,21661,SBST,154A,7
21661,28091,SBST,154A,8
22009,21699,SBST,154B,1
21699,21689,SBST,154B,2
21689,28099,SBST,154B,3
28099,21669,SBST,154B,4
21669,21659,SBST,154B,5
21659,21649,SBST,154B,6
21649,21639,SBST,154B,7
21639,21759,SBST,154B,8
21759,21769,SBST,154B,9
21769,21779,SBST,154B,10
21779,21559,SBST,154B,11
21559,21179,SBST,154B,12
21179,21029,SBST,154B,13
21029,21019,SBST,154B,14
21019,20089,SBST,154B,15
20089,20069,SBST,154B,16
20069,20059,SBST,154B,17
20059,20039,SBST,154B,18
20039,20029,SBST,154B,19
20029,17059,SBST,154B,20
17059,17189,SBST,154B,21
17189,17179,SBST,154B,22
17179,17169,SBST,154B,23
17169,17159,SBST,154B,24
17159,17101,SBST,154B,25
17101,17111,SBST,154B,26
17111,12061,SBST,154B,27
12061,12071,SBST,154B,28
12071,12081,SBST,154B,29
12081,12091,SBST,154B,30
12091,12101,SBST,154B,31
52009,52509,SBST,155,1
52509,52251,SBST,155,2
52251,52271,SBST,155,3
52271,52369,SBST,155,4
52369,52051,SBST,155,5
52051,52061,SBST,155,6
52061,66061,SBST,155,7
66061,66071,SBST,155,8
66071,61049,SBST,155,9
61049,61039,SBST,155,10
61039,70069,SBST,155,11
70069,70059,SBST,155,12
70059,70049,SBST,155,13
70049,70039,SBST,155,14
70039,70151,SBST,155,15
70151,70161,SBST,155,16
70161,70171,SBST,155,17
70171,70181,SBST,155,18
70181,70191,SBST,155,19
70191,70201,SBST,155,20
70201,70211,SBST,155,21
70211,70221,SBST,155,22
70221,70231,SBST,155,23
70231,70241,SBST,155,24
70241,70019,SBST,155,25
70019,81099,SBST,155,26
81099,81201,SBST,155,27
81201,81211,SBST,155,28
81211,81221,SBST,155,29
81221,81111,SBST,155,30
81111,82011,SBST,155,31
82011,82032,SBST,155,32
82032,82061,SBST,155,33
82061,83299,SBST,155,34
83299,83151,SBST,155,35
83151,83139,SBST,155,36
83139,83129,SBST,155,37
83129,92209,SBST,155,38
92209,92141,SBST,155,39
92141,92151,SBST,155,40
92151,93051,SBST,155,41
93051,93061,SBST,155,42
93061,93129,SBST,155,43
93129,93031,SBST,155,44
93031,93041,SBST,155,45
93041,93139,SBST,155,46
93139,84159,SBST,155,47
84159,84169,SBST,155,48
84169,84041,SBST,155,49
84041,84191,SBST,155,50
84191,84351,SBST,155,51
84351,84009,SBST,155,52
84009,84359,SBST,155,1
84359,84199,SBST,155,2
84199,84049,SBST,155,3
84049,84161,SBST,155,4
84161,84151,SBST,155,5
84151,93131,SBST,155,6
93131,93049,SBST,155,7
93049,93039,SBST,155,8
93039,93201,SBST,155,9
93201,93121,SBST,155,10
93121,93069,SBST,155,11
93069,93059,SBST,155,12
93059,92159,SBST,155,13
92159,92149,SBST,155,14
92149,92201,SBST,155,15
92201,83121,SBST,155,16
83121,83131,SBST,155,17
83131,83141,SBST,155,18
83141,83029,SBST,155,19
83029,82069,SBST,155,20
82069,82049,SBST,155,21
82049,82029,SBST,155,22
82029,81129,SBST,155,23
81129,81119,SBST,155,24
81119,81229,SBST,155,25
81229,81219,SBST,155,26
81219,81209,SBST,155,27
81209,81091,SBST,155,28
81091,70011,SBST,155,29
70011,70151,SBST,155,30
70151,70161,SBST,155,31
70161,70171,SBST,155,32
70171,70181,SBST,155,33
70181,70191,SBST,155,34
70191,70201,SBST,155,35
70201,70211,SBST,155,36
70211,70221,SBST,155,37
70221,70231,SBST,155,38
70231,70241,SBST,155,39
70241,70021,SBST,155,40
70021,70031,SBST,155,41
70031,70041,SBST,155,42
70041,70051,SBST,155,43
70051,70061,SBST,155,44
70061,61031,SBST,155,45
61031,61041,SBST,155,46
61041,66089,SBST,155,47
66089,66079,SBST,155,48
66079,66069,SBST,155,49
66069,52069,SBST,155,50
52069,52059,SBST,155,51
52059,52361,SBST,155,52
52361,52279,SBST,155,53
52279,52259,SBST,155,54
52259,52501,SBST,155,55
52501,52009,SBST,155,56
67009,67409,SBST,156,1
67409,67441,SBST,156,2
67441,67271,SBST,156,3
67271,67461,SBST,156,4
67461,67451,SBST,156,5
67451,64621,SBST,156,6
64621,64461,SBST,156,7
64461,66499,SBST,156,8
66499,66489,SBST,156,9
66489,64119,SBST,156,10
64119,64109,SBST,156,11
64109,63219,SBST,156,12
63219,63209,SBST,156,13
63209,63199,SBST,156,14
63199,63189,SBST,156,15
63189,63179,SBST,156,16
63179,63369,SBST,156,17
63369,66059,SBST,156,18
66059,66049,SBST,156,19
66049,66039,SBST,156,20
66039,66099,SBST,156,21
66099,54109,SBST,156,22
54109,54531,SBST,156,23
54531,53241,SBST,156,24
53241,53231,SBST,156,25
53231,53211,SBST,156,26
53211,52019,SBST,156,27
52019,51139,SBST,156,28
51139,51069,SBST,156,29
51069,51059,SBST,156,30
51059,51049,SBST,156,31
51049,51039,SBST,156,32
51039,51029,SBST,156,33
51029,51109,SBST,156,34
51109,51099,SBST,156,35
51099,40249,SBST,156,36
40249,40239,SBST,156,37
40239,40091,SBST,156,38
40091,41011,SBST,156,39
41011,41021,SBST,156,40
41021,41031,SBST,156,41
41031,41041,SBST,156,42
41041,41051,SBST,156,43
41051,41061,SBST,156,44
41061,41071,SBST,156,45
41071,41081,SBST,156,46
41081,42129,SBST,156,47
42129,42139,SBST,156,48
42139,11349,SBST,156,49
11349,11339,SBST,156,50
11339,11329,SBST,156,51
11329,11319,SBST,156,52
11319,11309,SBST,156,53
11309,11291,SBST,156,54
11291,12021,SBST,156,55
12021,12031,SBST,156,56
12031,12041,SBST,156,57
12041,12051,SBST,156,58
12051,12111,SBST,156,59
12111,17249,SBST,156,60
17249,17161,SBST,156,61
17161,17171,SBST,156,62
17171,17009,SBST,156,63
17009,17239,SBST,156,1
17239,17241,SBST,156,2
17241,12119,SBST,156,3
12119,12059,SBST,156,4
12059,12049,SBST,156,5
12049,12039,SBST,156,6
12039,12029,SBST,156,7
12029,11299,SBST,156,8
11299,11301,SBST,156,9
11301,11311,SBST,156,10
11311,11321,SBST,156,11
11321,11331,SBST,156,12
11331,11341,SBST,156,13
11341,42131,SBST,156,14
42131,42019,SBST,156,15
42019,41089,SBST,156,16
41089,41079,SBST,156,17
41079,41069,SBST,156,18
41069,41049,SBST,156,19
41049,41029,SBST,156,20
41029,41019,SBST,156,21
41019,40099,SBST,156,22
40099,40231,SBST,156,23
40231,51091,SBST,156,24
51091,51101,SBST,156,25
51101,51021,SBST,156,26
51021,51031,SBST,156,27
51031,51041,SBST,156,28
51041,51051,SBST,156,29
51051,51071,SBST,156,30
51071,51131,SBST,156,31
51131,52011,SBST,156,32
52011,53219,SBST,156,33
53219,53239,SBST,156,34
53239,53249,SBST,156,35
53249,54539,SBST,156,36
54539,54101,SBST,156,37
54101,66091,SBST,156,38
66091,66031,SBST,156,39
66031,66041,SBST,156,40
66041,66051,SBST,156,41
66051,63361,SBST,156,42
63361,63181,SBST,156,43
63181,63191,SBST,156,44
63191,63201,SBST,156,45
63201,63211,SBST,156,46
63211,64101,SBST,156,47
64101,64111,SBST,156,48
64111,66481,SBST,156,49
66481,66491,SBST,156,50
66491,64469,SBST,156,51
64469,64629,SBST,156,52
64629,67459,SBST,156,53
67459,67469,SBST,156,54
67469,67279,SBST,156,55
67279,67449,SBST,156,56
67449,67401,SBST,156,57
67401,67181,SBST,156,58
67181,67009,SBST,156,59
52009,52509,SBST,157,1
52509,52261,SBST,157,2
52261,52271,SBST,157,3
52271,52369,SBST,157,4
52369,52039,SBST,157,5
52039,52029,SBST,157,6
52029,52019,SBST,157,7
52019,51139,SBST,157,8
51139,51079,SBST,157,9
51079,51119,SBST,157,10
51119,40269,SBST,157,11
40269,40259,SBST,157,12
40259,41159,SBST,157,13
41159,41169,SBST,157,14
41169,41139,SBST,157,15
41139,41129,SBST,157,16
41129,41031,SBST,157,17
41031,41041,SBST,157,18
41041,41051,SBST,157,19
41051,41061,SBST,157,20
41061,41071,SBST,157,21
41071,41081,SBST,157,22
41081,42011,SBST,157,23
42011,42021,SBST,157,24
42021,42031,SBST,157,25
42031,42041,SBST,157,26
42041,42051,SBST,157,27
42051,42061,SBST,157,28
42061,42071,SBST,157,29
42071,42151,SBST,157,30
42151,42161,SBST,157,31
42161,42171,SBST,157,32
42171,42181,SBST,157,33
42181,42191,SBST,157,34
42191,43201,SBST,157,35
43201,43191,SBST,157,36
43191,43181,SBST,157,37
43181,43171,SBST,157,38
43171,43419,SBST,157,39
43419,43401,SBST,157,40
43401,43531,SBST,157,41
43531,43341,SBST,157,42
43341,43453,SBST,157,43
43453,28299,SBST,157,44
28299,28451,SBST,157,45
28451,28461,SBST,157,46
28461,28491,SBST,157,47
28491,28501,SBST,157,48
28501,28511,SBST,157,49
28511,28521,SBST,157,50
28521,28401,SBST,157,51
28401,28531,SBST,157,52
28531,21161,SBST,157,53
21161,21389,SBST,157,54
21389,21379,SBST,157,55
21379,21369,SBST,157,56
21369,22009,SBST,157,57
22009,21361,SBST,157,1
21361,21371,SBST,157,2
21371,21381,SBST,157,3
21381,21169,SBST,157,4
21169,28539,SBST,157,5
28539,28409,SBST,157,6
28409,28529,SBST,157,7
28529,28519,SBST,157,8
28519,28509,SBST,157,9
28509,28499,SBST,157,10
28499,28469,SBST,157,11
28469,28459,SBST,157,12
28459,28291,SBST,157,13
28291,43459,SBST,157,14
43459,43349,SBST,157,15
43349,43539,SBST,157,16
43539,43409,SBST,157,17
43409,43411,SBST,157,18
43411,43179,SBST,157,19
43179,43189,SBST,157,20
43189,43199,SBST,157,21
43199,43209,SBST,157,22
43209,42199,SBST,157,23
42199,42189,SBST,157,24
42189,42179,SBST,157,25
42179,42169,SBST,157,26
42169,42159,SBST,157,27
42159,42259,SBST,157,28
42259,42089,SBST,157,29
42089,42059,SBST,157,30
42059,42049,SBST,157,31
42049,42039,SBST,157,32
42039,42029,SBST,157,33
42029,42019,SBST,157,34
42019,41089,SBST,157,35
41089,41079,SBST,157,36
41079,41069,SBST,157,37
41069,41049,SBST,157,38
41049,41121,SBST,157,39
41121,41131,SBST,157,40
41131,41141,SBST,157,41
41141,41151,SBST,157,42
41151,40251,SBST,157,43
40251,40261,SBST,157,44
40261,51111,SBST,157,45
51111,51071,SBST,157,46
51071,51131,SBST,157,47
51131,52011,SBST,157,48
52011,52021,SBST,157,49
52021,52031,SBST,157,50
52031,52361,SBST,157,51
52361,52279,SBST,157,52
52279,52269,SBST,157,53
52269,52501,SBST,157,54
52501,52009,SBST,157,55
66009,62179,SBST,158,1
62179,62169,SBST,158,3
62169,62159,SBST,158,4
62159,62089,SBST,158,5
62089,62079,SBST,158,6
62079,62069,SBST,158,7
62069,70309,SBST,158,8
70309,70299,SBST,158,9
70299,70289,SBST,158,10
70289,70279,SBST,158,11
70279,70269,SBST,158,12
70269,70379,SBST,158,13
70379,70201,SBST,158,14
70201,70211,SBST,158,15
70211,70221,SBST,158,16
70221,70231,SBST,158,17
70231,70241,SBST,158,18
70241,70019,SBST,158,19
70019,81099,SBST,158,20
81099,81089,SBST,158,21
81089,80089,SBST,158,22
80089,80069,SBST,158,23
80069,80119,SBST,158,24
80119,80149,SBST,158,25
80149,80279,SBST,158,26
80279,91099,SBST,158,27
91099,91089,SBST,158,28
91089,90069,SBST,158,29
90069,90059,SBST,158,30
90059,90039,SBST,158,31
90039,90029,SBST,158,32
90029,90019,SBST,158,33
90019,90079,SBST,158,34
90079,90011,SBST,158,35
90011,90021,SBST,158,36
90021,90031,SBST,158,37
90031,90051,SBST,158,38
90051,90061,SBST,158,39
90061,91081,SBST,158,40
91081,91091,SBST,158,41
91091,80271,SBST,158,42
80271,80141,SBST,158,43
80141,80111,SBST,158,44
80111,80071,SBST,158,45
80071,80091,SBST,158,46
80091,81081,SBST,158,47
81081,81091,SBST,158,48
81091,70011,SBST,158,49
70011,70151,SBST,158,50
70151,70161,SBST,158,51
70161,70171,SBST,158,52
70171,70181,SBST,158,53
70181,70191,SBST,158,54
70191,70371,SBST,158,55
70371,70261,SBST,158,56
70261,70271,SBST,158,57
70271,70281,SBST,158,58
70281,70291,SBST,158,59
70291,70301,SBST,158,60
70301,62061,SBST,158,61
62061,62071,SBST,158,62
62071,62151,SBST,158,63
62151,62161,SBST,158,64
62161,62171,SBST,158,65
62171,62139,SBST,158,66
62139,66009,SBST,158,67
81089,80089,SBST,158A,1
80089,80069,SBST,158A,2
80069,80119,SBST,158A,3
80119,80149,SBST,158A,4
80149,80279,SBST,158A,5
80279,91099,SBST,158A,6
91099,91089,SBST,158A,7
91089,90069,SBST,158A,8
90069,90059,SBST,158A,9
90059,90039,SBST,158A,10
90039,90029,SBST,158A,11
90029,90019,SBST,158A,12
90019,90079,SBST,158A,13
90079,90011,SBST,158A,14
90011,90021,SBST,158A,15
90021,90031,SBST,158A,16
90031,90051,SBST,158A,17
90051,90061,SBST,158A,18
90061,91081,SBST,158A,19
91081,91091,SBST,158A,20
91091,80271,SBST,158A,21
80271,80141,SBST,158A,22
80141,80111,SBST,158A,23
80111,80071,SBST,158A,24
80071,80091,SBST,158A,25
80091,81081,SBST,158A,26
67009,67409,SBST,159,1
67409,67441,SBST,159,2
67441,67271,SBST,159,3
67271,67461,SBST,159,4
67461,67451,SBST,159,5
67451,64621,SBST,159,6
64621,64461,SBST,159,7
64461,64619,SBST,159,8
64619,64609,SBST,159,9
64609,64479,SBST,159,10
64479,64489,SBST,159,11
64489,64499,SBST,159,12
64499,66539,SBST,159,13
66539,66529,SBST,159,14
66529,66519,SBST,159,15
66519,66459,SBST,159,16
66459,54659,SBST,159,17
54659,54509,SBST,159,18
54509,54499,SBST,159,19
54499,54489,SBST,159,20
54489,54479,SBST,159,21
54479,54359,SBST,159,22
54359,54349,SBST,159,23
54349,54399,SBST,159,24
54399,54339,SBST,159,25
54339,54329,SBST,159,26
54329,54319,SBST,159,27
54319,54101,SBST,159,28
54101,66091,SBST,159,29
66091,66029,SBST,159,30
66029,66019,SBST,159,31
66019,52069,SBST,159,32
52069,52059,SBST,159,33
52059,52361,SBST,159,34
52361,52279,SBST,159,35
52279,52259,SBST,159,36
52259,52501,SBST,159,37
52501,52009,SBST,159,38
52009,52509,SBST,159,1
52509,52251,SBST,159,2
52251,52271,SBST,159,3
52271,52369,SBST,159,4
52369,52051,SBST,159,5
52051,52061,SBST,159,6
52061,66011,SBST,159,7
66011,66021,SBST,159,8
66021,66099,SBST,159,9
66099,54109,SBST,159,10
54109,54311,SBST,159,11
54311,54321,SBST,159,12
54321,54331,SBST,159,13
54331,54391,SBST,159,14
54391,54341,SBST,159,15
54341,54351,SBST,159,16
54351,54471,SBST,159,17
54471,54481,SBST,159,18
54481,54491,SBST,159,19
54491,54501,SBST,159,20
54501,54651,SBST,159,21
54651,66451,SBST,159,22
66451,66511,SBST,159,23
66511,66521,SBST,159,24
66521,66531,SBST,159,25
66531,64491,SBST,159,26
64491,64481,SBST,159,27
64481,64471,SBST,159,28
64471,64601,SBST,159,29
64601,64611,SBST,159,30
64611,64469,SBST,159,31
64469,64629,SBST,159,32
64629,67459,SBST,159,33
67459,67469,SBST,159,34
67469,67279,SBST,159,35
67279,67449,SBST,159,36
67449,67401,SBST,159,37
67401,67181,SBST,159,38
67181,67009,SBST,159,39
67009,67409,SBST,159A,1
67409,67441,SBST,159A,2
67441,67271,SBST,159A,3
67271,67461,SBST,159A,4
67461,67451,SBST,159A,5
67451,64621,SBST,159A,6
64621,64461,SBST,159A,7
64461,64619,SBST,159A,8
64619,64609,SBST,159A,9
64609,64479,SBST,159A,10
64479,64489,SBST,159A,11
64489,64499,SBST,159A,12
64499,66539,SBST,159A,13
66539,66529,SBST,159A,14
66529,66519,SBST,159A,15
66519,66459,SBST,159A,16
66459,54659,SBST,159A,17
54659,54509,SBST,159A,18
54509,54499,SBST,159A,19
54499,54489,SBST,159A,20
54489,54479,SBST,159A,21
54479,54359,SBST,159A,22
54359,54349,SBST,159A,23
54349,54399,SBST,159A,24
54391,54341,SBST,159B,1
54341,54351,SBST,159B,2
54351,54471,SBST,159B,3
54471,54481,SBST,159B,4
77009,77139,GAS,15A,1
77139,77029,GAS,15A,2
77029,76191,GAS,15A,3
76191,76149,GAS,15A,8
76149,76139,GAS,15A,9
76139,76069,GAS,15A,10
76069,75059,GAS,15A,11
75059,75229,GAS,15A,12
75229,75239,GAS,15A,13
75239,75249,GAS,15A,14
75249,75259,GAS,15A,15
75259,84481,GAS,15A,16
84481,84701,GAS,15A,18
84701,72031,GAS,15A,19
72031,72041,GAS,15A,20
72041,72051,GAS,15A,21
72051,71091,GAS,15A,22
71091,72019,GAS,15A,23
72019,83119,GAS,15A,24
83119,83109,GAS,15A,25
84009,84139,SBST,16,1
84139,84129,SBST,16,2
84129,84151,SBST,16,3
84151,93099,SBST,16,4
93099,93089,SBST,16,5
93089,93079,SBST,16,6
93079,93129,SBST,16,7
93129,93029,SBST,16,8
93029,93019,SBST,16,9
93019,92089,SBST,16,10
92089,92211,SBST,16,11
92211,92221,SBST,16,12
92221,92231,SBST,16,13
92231,92069,SBST,16,14
92069,92059,SBST,16,15
92059,92181,SBST,16,16
92181,92171,SBST,16,17
92171,82139,SBST,16,18
82139,82129,SBST,16,19
82129,81199,SBST,16,20
81199,81189,SBST,16,21
81189,81179,SBST,16,22
81179,80141,SBST,16,23
80141,80219,SBST,16,24
80219,80169,SBST,16,25
80169,80159,SBST,16,26
80159,4111,SBST,16,27
4111,4121,SBST,16,28
4121,8041,SBST,16,29
8041,8031,SBST,16,30
8031,8111,SBST,16,31
8111,8121,SBST,16,32
8121,9059,SBST,16,33
9059,9022,SBST,16,34
9022,13199,SBST,16,35
13199,13159,SBST,16,36
13159,13139,SBST,16,37
13139,13119,SBST,16,38
13119,6129,SBST,16,39
6129,6069,SBST,16,40
6069,6051,SBST,16,41
6051,10141,SBST,16,42
10141,10151,SBST,16,43
